,E Series Sensor Data,Linear Regression Prediction,Reference pm Measurement
388,9.566551724,6.425039116,5
389,8.553045977,5.788054292,5
390,9.652356322,6.464450042,6
391,9.77091954,6.553712381,7
392,11.23712644,7.438237566,6
393,15.60017241,10.09183565,10
394,14.03206897,9.12982584,11
395,9.047494253,6.143000369,7
396,2.699063218,2.300745547,3
397,2.60337931,2.245519746,2
398,2.015718391,1.891990944,2
399,4.560752874,3.414140867,1
400,1.547885057,1.602763882,0
401,1.526781609,1.596227538,0
402,1.591942529,1.638570184,1
403,1.550927778,1.645757921,0
404,0.928178161,1.266700134,0
405,1.06562069,1.311595887,1
406,1.0225,1.245549777,0
407,0.905143678,1.203190109,0
408,0.913798851,1.16490515,0
409,0.995224138,1.306670306,0
410,0.870195402,1.22710487,0
411,1.102488506,1.263496648,0
412,1.00191954,1.220738048,0
413,1.104408046,1.353705723,0
414,1.206408046,1.425904305,0
415,1.286844828,1.460564923,1
416,1.821293103,1.733664882,2
417,1.784471264,1.771524255,1
418,1.671431034,1.691803468,0
419,1.386028736,1.504864632,1
420,1.363994253,1.472154832,1
421,1.997091954,1.858029346,0
422,2.207590643,1.992368716,2
423,2.268264368,2.036712839,4
424,4.489942529,3.387498381,5
425,3.932873563,3.034187897,4
426,1.781137931,1.789714812,1
427,1.403252874,1.563967164,0
428,1.291649425,1.472096628,0
429,2.317448276,2.052998992,0
430,2.237172414,2.022429697,0
431,2.360132184,2.121999023,1
432,2.030149425,1.907858335,4
433,4.465982759,3.386476337,3
434,1.574252874,1.663469358,1
435,1.182005747,1.376463146,0
436,1.240908046,1.43278609,0
437,1.434408046,1.5774537,2
438,2.280793103,2.04913127,3
439,2.494810345,2.205889795,2
440,3.96358046,3.102417801,3
441,5.743155172,4.208494964,4
442,1.886034483,1.864481222,1
443,1.649425287,1.668251377,0
444,1.713143678,1.769070766,0
445,1.673856322,1.651237619,0
446,2.119718391,2.032976042,2
447,2.45787931,2.120350169,2
448,2.371655172,2.122142728,1
449,2.494816092,2.166928381,2
450,2.928505747,2.465453812,1
451,3.646511494,2.868592803,3
452,3.049408046,2.541547108,2
453,2.814218391,2.299343783,1
454,2.947281609,2.480333275,2
455,2.621988506,2.275318681,4
456,2.6725,2.299589242,4
457,2.490442529,2.098518897,3
458,2.569821839,2.170700319,4
459,2.270132184,1.943972901,3
460,2.326114943,2.075158343,4
461,2.523931034,2.15778573,3
462,2.665735632,2.232325455,2
463,2.443431034,2.053534363,3
464,2.19058046,1.975623827,2
465,1.900896552,1.817416215,1
466,2.11304023,1.83921506,3
467,2.397413793,2.055631481,3
468,1.90804023,1.796576761,3
469,1.508143678,1.445106819,1
470,1.699701149,1.631266718,0
471,1.515816092,1.520345639,4
472,1.69062069,1.675489353,7
473,2.122614943,1.943848853,4
474,1.499528736,1.445091786,4
475,1.870672414,1.698814046,2
476,2.022034483,1.807037737,1
477,2.113965517,1.869275983,0
478,1.767241379,1.653676463,1
479,2.316097701,2.104487444,2
480,1.926701149,1.862903733,2
481,1.801718391,1.801369256,1
482,1.800281609,1.692679061,1
483,1.659005747,1.613566418,0
484,2.056045977,1.929508225,0
485,1.997603448,1.803616351,0
486,1.814212644,1.798212926,0
487,1.837649425,1.705273361,2
488,1.909517241,1.839115299,3
489,2.795282486,2.370337172,2
490,2.037700565,1.863526584,2
491,1.784971264,1.759780386,0
492,2.133091954,1.945524605,0
493,1.519172414,1.56771592,2
494,1.397517241,1.395442528,1
495,1.138413793,1.339505545,2
496,1.054586207,1.263967227,0
497,0.818488506,1.092819413,0
498,0.983764368,1.193937809,1
499,1.268206897,1.390250676,1
500,1.223178161,1.366990096,1
501,1.106321839,1.307891122,2
502,1.364948276,1.404801157,3
503,1.156137931,1.332978934,2
504,1.035436782,1.244700747,0
505,0.937275862,1.187642193,0
506,0.620201149,1.01967704,0
507,0.490425287,0.820613196,0
508,0.254310345,0.776670476,1
509,0.346281609,0.75066084,4
510,0.354902299,0.773149856,3
511,0.689643678,0.96653429,0
512,0.409022989,0.861771485,0
513,0.8065,1.105589473,0
514,0.470787356,0.813494378,0
515,0.312264368,0.721761923,2
516,0.288,0.704479483,3
517,0.47795977,0.887508243,1
518,0.388402299,0.847273992,0
519,0.514827586,0.799622686,0
520,0.539298851,0.833912136,1
521,0.67241954,1.01311702,0
522,0.58812069,0.842765526,0
523,0.434867816,0.755082088,0
524,0.894149425,1.132622714,0
525,0.485155172,0.88196654,0
526,0.131241379,0.569922147,0
527,0.23612069,0.728454332,0
528,0.290241379,0.75461095,0
529,0.384063218,0.726750037,0
530,0.263885057,0.733077577,1
531,0.262454023,0.73127589,0
532,0.235137931,0.716645623,0
533,0.417626437,0.843482722,0
534,0.279689655,0.69728444,0
535,0.238977011,0.632074308,0
536,0.270597701,0.688990129,0
537,0.348649425,0.731494375,0
538,0.406591954,0.806587414,2
539,0.393678161,0.797758833,0
540,0.441574713,0.823731495,0
541,0.201022599,0.672885188,0
542,0.233062147,0.693962561,0
543,0.413787356,0.752548974,1
544,0.628833333,0.918638406,0
545,1.321844828,1.237937294,0
