dt_hour,e_series_pm,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,wind_x,wind_y,season_Autumn,season_Spring,season_Summer,season_Winter,reference_pm
2015-11-12 2:00,0.762448276,-6.747413793,33.69258621,918,28,180,-16.75688193,-22.4322738,0,0,0,1,0
2015-11-12 3:00,0.778252874,-6.461068966,34.23017241,916.3275862,20,170,18.75989504,6.93298911,0,0,0,1,0
2015-11-12 4:00,0.976074713,-6.131465517,34.18965517,914.3793103,23,180,-13.76458159,-18.42651062,0,0,0,1,1
2015-11-12 5:00,0.706425287,-6.385793103,34.86775862,911.7931034,31,160,-30.2445087,6.80218301,0,0,0,1,0
2015-11-12 6:00,0.366396552,-6.675189655,34.91241379,909.6551724,27,150,18.87977177,-19.3016636,0,0,0,1,0
2015-11-12 7:00,0.325178161,-6.645672414,34.74534483,907.7931034,25,170,23.4498688,8.666236387,0,0,0,1,0
2015-11-12 8:00,0.472206897,-6.422965517,34.69982759,906.4827586,28,170,26.26385306,9.706184754,0,0,0,1,0
2015-11-12 9:00,0.437252874,-5.857603448,34.65810345,905.3965517,23,180,-13.76458159,-18.42651062,0,0,0,1,0
2015-11-12 10:00,0.572298851,-5.523137931,34.86637931,905,22,180,-13.16612152,-17.62535799,0,0,0,1,0
2015-11-12 11:00,0.608206897,-4.519362069,34.6837931,904.1034483,23,160,-22.43947419,5.046780943,0,0,0,1,2
2015-11-12 12:00,0.385528736,-3.199258621,34.22103448,903.8793103,21,150,14.68426694,-15.01240502,0,0,0,1,1
2015-11-12 13:00,0.370218391,-3.069568966,34.11913793,903,23,170,21.5738793,7.972937476,0,0,0,1,0
2015-11-12 14:00,0.66954023,-3.222844828,34.3937931,903,28,160,-27.31762076,6.143907235,0,0,0,1,0
2015-11-12 15:00,0.644172414,-2.665241379,34.14672414,902.1896552,22,150,15.38351774,-15.72728145,0,0,0,1,1
2015-11-12 16:00,0.473678161,-2.458637931,34.24258621,902,18,180,-10.77228124,-14.42074744,0,0,0,1,1
2015-11-12 17:00,0.559867816,-2.879741379,34.37913793,901.3448276,23,170,21.5738793,7.972937476,0,0,0,1,0
2015-11-12 18:00,0.53783908,-3.314793103,34.59465517,901,21,180,-12.56766145,-16.82420535,0,0,0,1,0
2015-11-12 19:00,0.950195402,-3.073137931,34.37465517,901,18,170,16.88390554,6.239690199,0,0,0,1,0
