Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],NO2[ppb],Pressure[Pa],Airpointer_NO2[ppb],Airpointer_O3[ppb],Airpointer_Temperature[degC],Airpointer_NO[ppb],Airpointer_NOx[ppb],Airpointer_PM10[ppb],Airpointer_PM2.5[ppb],Airpointer_PM10-2.5[ppb],Airpointer_Humidity[percent]
2020-05-09 1:00,0.6615,55.213,0.014444444,0.183888889,0.317777778,44.617,73.89394444,99376.42167,3.7505,21.4575,-2.854666667,0.3815,-2.854666667,2.5235,1.4025,1.121166667,67.0915
2020-05-09 2:00,0.918388889,53.37455556,0.01,0.228333333,0.372777778,45.23172222,72.74788889,99379.075,5.614666667,18.52966667,-3.4405,0.554833333,-3.4405,2.979166667,1.3955,1.583166667,67.25933333
2020-05-09 3:00,0.472555556,53.09416667,1.111111111,1.347222222,1.496666667,43.91822222,70.89561111,99356.18278,6.603833333,16.94183333,-3.771166667,0.671333333,-3.771166667,2.812166667,1.375666667,1.437,70.69933333
2020-05-09 4:00,0.049722222,55.71916667,4.178333333,4.908888889,5.272222222,44.94616667,72.83688889,99357.94889,8.081666667,15.11083333,-3.879166667,0.916833333,-3.879166667,4.222,1.498,2.726166667,69.99616667
2020-05-09 5:00,-0.140166667,55.82855556,4.253888889,5.043888889,5.528333333,45.11616667,74.89222222,99363.51278,10.618,13.757,-3.274,1.8815,-3.274,4.556166667,1.721333333,2.837166667,67.57166667
2020-05-09 6:00,0.893333333,53.75072222,2.478333333,3.203888889,3.505,45.62355556,86.26072222,99393.19944,8.828333333,15.9305,-1.759,3.396833333,-1.759,5.859333333,2.251333333,3.609166667,63.81833333
2020-05-09 7:00,4.331111111,45.90683333,1.037777778,1.601111111,1.8,45.367,83.91105556,99401.83833,6.649333333,18.62933333,-0.853666667,2.892333333,-0.853666667,7.186166667,2.517666667,4.667833333,63.25583333
2020-05-09 8:00,4.969777778,46.47944444,0.379444444,0.955,1.12,45.55122222,77.77861111,99383.29667,3.232666667,24.39183333,0.184833333,1.781333333,0.184833333,6.086333333,2.393833333,3.690833333,62.38666667
2020-05-09 9:00,6.624222222,44.20661111,0.773888889,1.333888889,1.492777778,45.92366667,71.92916667,99345.16278,1.804833333,29.04883333,1.8875,1.099833333,1.8875,7.939,2.278333333,5.6615,55.27283333
2020-05-09 10:00,9.063222222,38.66794444,1.458888889,2.146111111,2.342777778,45.51455556,73.38177778,99297.37889,1.4825,32.2215,2.7855,0.966333333,2.7855,9.728166667,2.610166667,7.117666667,49.61066667
2020-05-09 11:00,10.8705,33.27027778,0.694444444,1.251666667,1.395,45.48061111,56.67222222,99273.73278,1.525,31.57216667,1.481,0.9975,1.481,10.66416667,2.624166667,8.040166667,64.4035
2020-05-09 12:00,9.007,43.20205556,7.027777778,8.534444444,8.978333333,50.33405556,54.80811111,99347.69278,1.362666667,32.65283333,3.960833333,0.911166667,3.960833333,3.955333333,2.115666667,1.840333333,50.12783333
2020-05-09 13:00,9.462611111,38.62816667,8.566111111,10.23111111,10.65111111,46.26938889,68.61266667,99367.29944,0.973833333,33.7795,3.926166667,0.72,3.926166667,7.315166667,1.799333333,5.518833333,46.41833333
2020-05-09 14:00,10.43972222,33.78344444,0.73,1.031111111,1.137777778,46.77705556,60.32516667,99394.28444,1.105333333,34.58816667,4.771833333,0.659666667,4.771833333,6.655333333,1.756166667,4.898,38.59966667
2020-05-09 15:00,11.04983333,28.471,0.093333333,0.297222222,0.418888889,48.70866667,56.87538889,99394.07556,1.4375,35.03266667,4.143666667,0.7605,4.143666667,6.145333333,1.6815,4.465166667,39.57666667
2020-05-09 16:00,9.9425,29.81188889,2.225555556,2.697777778,2.897777778,53.82555556,58.04766667,99431.16056,1.3345,36.717,4.191833333,0.530166667,4.191833333,6.074833333,1.507333333,4.567666667,40.72383333
2020-05-09 17:00,9.633444444,30.98094444,5.606666667,6.265555556,6.529444444,54.25822222,62.05538889,99467.245,1.4065,38.51983333,4.2915,0.4045,4.2915,7.638166667,1.934333333,5.705,40.81766667
2020-05-09 18:00,9.180777778,32.10416667,9.078333333,10.60722222,10.95555556,54.70705556,66.31816667,99483.30556,1.85,39.15083333,4.107833333,0.479166667,4.107833333,4.907833333,2.2495,2.6585,41.65933333
2020-05-09 19:00,8.692555556,33.14311111,12.035,14.75944444,15.61222222,54.93255556,64.75727778,99498.34833,1.847166667,40.60616667,3.401166667,0.369666667,3.401166667,4.982166667,2.275,2.707833333,44.04166667
2020-05-09 20:00,7.834277778,34.96827778,16.27888889,19.77555556,20.86277778,56.60716667,67.33205556,99555.675,3.362833333,38.65633333,3.003166667,0.474666667,3.003166667,3.734666667,2.120666667,1.6135,45.5255
2020-05-09 21:00,7.179222222,36.50211111,12.77166667,14.62444444,16.18722222,54.56644444,68.47411111,99621.8,4.750333333,36.44733333,2.111666667,0.398,2.111666667,3.736,2.212,1.523833333,48.297
2020-05-09 22:00,6.339777778,38.6405,1.783333333,2.485,2.656111111,54.83194444,69.90372222,99644.07,4.623166667,35.59066667,1.267666667,0.385666667,1.267666667,4.685833333,2.488666667,2.197166667,54.36166667
2020-05-09 23:00,5.426555556,42.97516667,1.111111111,1.773888889,1.941111111,53.674,71.48161111,99630.74167,7.067666667,32.6995,0.926833333,0.582333333,0.926833333,4.878,2.760833333,2.119166667,56.97783333
2020-05-10 1:00,4.766666667,46.74816667,1.385,2.440555556,2.746666667,53.08355556,78.36116667,99668.05778,7.592,32.20366667,1.794333333,0.272333333,1.794333333,5.553666667,3.301666667,2.251333333,53.97816667
2020-05-10 2:00,5.560944444,44.01566667,1.24,2.127222222,2.388333333,52.191,77.67766667,99666.50833,5.3355,34.05833333,1.846666667,0.2375,1.846666667,5.573666667,3.038166667,2.534833333,53.28533333
2020-05-10 3:00,5.995277778,42.40361111,1.528888889,2.337222222,2.584444444,52.3185,72.55211111,99649.36444,5.9565,32.34783333,1.726833333,0.231,1.726833333,5.516333333,3.144166667,2.371333333,54.3625
2020-05-10 4:00,5.812555556,42.96138889,1.240555556,2.076666667,2.316666667,52.27488889,73.27266667,99626.73278,8.707166667,28.375,0.9455,0.475666667,0.9455,6.171166667,3.277833333,2.894,57.318
2020-05-10 5:00,5.035777778,45.24644444,1.183333333,2.141666667,2.443333333,52.98338889,73.10544444,99597.67889,11.66116667,24.6665,0.692333333,0.930333333,0.692333333,6.129833333,3.472166667,2.657333333,58.79966667
2020-05-10 6:00,4.805166667,46.88316667,1.317222222,2.395555556,2.717222222,53.44105556,86.02333333,99619.24278,6.588833333,30.62783333,2.4275,1.373666667,2.4275,5.929833333,3.421,2.508166667,54.27983333
2020-05-10 7:00,8.794111111,38.72683333,2.175555556,3.279444444,3.531666667,49.7735,81.78494444,99604.51111,5.369,34.97083333,3.8175,1.1145,3.8175,5.118,3.200166667,1.917333333,51.3645
2020-05-10 8:00,10.55777778,35.68611111,1.366111111,2.187777778,2.362222222,51.27316667,60.02305556,99595.21333,3.026333333,37.77483333,5.063833333,0.805,5.063833333,5.168666667,2.8635,2.3035,47.99866667
2020-05-10 9:00,10.46461111,36.44788889,2.342222222,3.124444444,3.291111111,51.73111111,66.49238889,99555.66056,4.162666667,36.4635,4.911833333,0.968333333,4.911833333,5.877333333,3.2795,2.5975,48.19466667
2020-05-10 10:00,10.86788889,35.94272222,1.281666667,2.199444444,2.422222222,51.72411111,61.45288889,99566.855,5.777,33.97166667,4.244833333,1.064,4.244833333,8.2135,3.957666667,4.2555,62.83683333
2020-05-10 11:00,9.953833333,45.09111111,4.443888889,6.079444444,6.516111111,53.3015,65.31872222,99567.19389,5.812666667,34.599,4.354,1.1435,4.354,9.423166667,4.782,4.641333333,62.7665
2020-05-10 12:00,9.709333333,46.74455556,10.01055556,12.49333333,13.43222222,51.23588889,72.91483333,99545.85889,6.5755,32.05066667,5.059166667,1.820666667,5.059166667,9.204,5.147,4.0565,70.53783333
2020-05-10 13:00,10.11805556,51.30333333,5.552777778,7.720555556,8.173333333,50.53933333,73.94883333,99496.38778,5.9985,31.631,5.6135,1.409333333,5.6135,9.921166667,5.543,4.377666667,71.86883333
2020-05-10 14:00,10.46666667,52.35488889,4.269444444,6.743333333,7.225555556,49.41772222,73.6575,99442.80778,3.9015,36.05416667,6.856666667,0.960666667,6.856666667,9.4455,5.202166667,4.243166667,66.89816667
2020-05-10 15:00,11.45844444,49.41372222,3.820555556,5.916666667,6.270555556,48.81944444,70.73011111,99394.99056,3.105,38.28583333,8.588,1.123,8.588,8.1755,4.7525,3.422833333,61.245
2020-05-10 16:00,13.35694444,44.439,3.773888889,5.473888889,5.778888889,48.30194444,71.10383333,99337.65,3.508666667,35.7895,7.457166667,0.670333333,7.457166667,8.785333333,4.988666667,3.796833333,63.17216667
2020-05-10 17:00,13.29861111,43.27494444,4.915555556,6.876111111,7.255555556,48.15094444,54.84994444,99315.31056,4.142166667,34.37583333,6.295833333,0.5175,6.295833333,9.4365,5.414833333,4.022666667,68.85633333
2020-05-10 18:00,11.03311111,50.74438889,4.641666667,6.852777778,7.277777778,50.26427778,66.19583333,99334.16944,4.178,32.218,6.134666667,0.369166667,6.134666667,9.181666667,5.472666667,3.710333333,70.39233333
2020-05-10 19:00,10.26938889,53.20161111,4.526666667,6.729444444,7.130555556,49.59233333,71.10361111,99333.52333,4.679166667,31.80983333,5.484,0.331833333,5.484,8.787,5.824333333,2.963166667,71.86983333
2020-05-10 20:00,9.552166667,54.68138889,8.705555556,11.77444444,12.54666667,49.88861111,74.74622222,99321.47944,4.352166667,31.29366667,4.737833333,0.508,4.737833333,9.327833333,5.976833333,3.350833333,73.63133333
2020-05-10 21:00,8.796333333,55.94172222,13.255,17.70555556,18.97611111,50.84294444,79.43027778,99328.27778,3.569666667,31.48533333,4.453833333,0.3935,4.453833333,8.3405,5.562166667,2.777833333,73.57116667
2020-05-10 22:00,8.451444444,56.2755,11.47333333,16.06055556,16.87944444,50.777,80.84483333,99321.96611,2.9365,32.3285,3.842333333,0.372166667,3.842333333,5.044,3.632666667,1.411833333,73.43833333
2020-05-10 23:00,7.914111111,56.2565,9.81,13.51333333,13.915,51.64133333,81.84377778,99286.85556,4.162666667,30.44083333,3.829833333,0.680833333,3.829833333,5.498833333,3.456166667,2.045,71.1465
2020-05-11 1:00,7.484888889,49.79688889,25.16055556,28.58722222,30.52722222,50.64627778,82.8105,99238.83389,4.506166667,29.72283333,3.1695,0.673333333,3.1695,4.2815,2.9095,1.3705,68.096
2020-05-11 2:00,7.199666667,52.28366667,2.409444444,3.187222222,3.438333333,51.81733333,85.11283333,99213.90111,5.070333333,29.50533333,2.364166667,1.669,2.364166667,4.482833333,2.9535,1.528833333,75.25816667
2020-05-11 3:00,6.629722222,57.09616667,1.662777778,2.474444444,2.64,52.28644444,85.89,99199.24889,6.478666667,26.11733333,1.369666667,1.164833333,1.369666667,5.032833333,3.6415,1.392666667,80.06
2020-05-11 4:00,5.9725,61.2675,3.353333333,4.623888889,4.857777778,52.34094444,87.23733333,99180.24333,5.881666667,26.516,0.825333333,1.688833333,0.825333333,5.806333333,4.047,1.758,83.52083333
2020-05-11 5:00,5.178611111,64.56905556,3.885,5.363888889,5.655,52.47827778,92.76605556,99180.15278,7.263333333,25.03433333,0.848666667,2.214666667,0.848666667,5.992166667,3.8515,2.141,84.5305
2020-05-11 6:00,4.981444444,65.891,4.158333333,5.525,5.812777778,52.05833333,94.48116667,99220.98722,10.8095,21.94883333,0.815,3.453,0.815,5.765833333,3.7605,2.005666667,83.77233333
2020-05-11 7:00,5.028888889,65.89011111,3.394444444,4.712777778,4.976111111,53.39938889,100.2782778,99258.375,8.0235,23.697,1.085,3.111,1.085,5.7595,3.761166667,1.999166667,83.72933333
2020-05-11 8:00,5.198666667,66.379,3.370555556,4.628333333,4.865555556,52.78455556,100.0425,99302.23,5.915666667,24.41083333,2.263,4.151833333,2.263,7.583833333,4.142,3.442,81.80066667
2020-05-11 9:00,6.322333333,65.58766667,3.718888889,5.12,5.557222222,51.95383333,101.1783333,99345.31111,6.3635,23.261,3.454166667,9.3085,3.454166667,20.05416667,9.102333333,10.95433333,79.38516667
