Time,Relative_Humidity
2020-05-27 10:00:00,45.814
2020-05-27 11:00:00,46.989
2020-05-27 12:00:00,44.748
2020-05-27 13:00:00,46.830
2020-05-27 14:00:00,46.192
2020-05-27 15:00:00,43.534
2020-05-27 16:00:00,43.580
2020-05-27 17:00:00,37.963
2020-05-27 18:00:00,38.233
2020-05-27 19:00:00,51.291
2020-05-27 20:00:00,61.147
2020-05-27 21:00:00,66.161
2020-05-27 22:00:00,66.915
2020-05-27 23:00:00,68.624
2020-05-28 00:00:00,70.177
2020-05-28 01:00:00,66.651
2020-05-28 02:00:00,64.625
2020-05-28 03:00:00,66.533
2020-05-28 04:00:00,70.254
2020-05-28 05:00:00,73.415
2020-05-28 06:00:00,75.427
2020-05-28 07:00:00,77.104
2020-05-28 08:00:00,76.363
2020-05-28 09:00:00,71.254
2020-05-28 10:00:00,68.420
2020-05-28 11:00:00,63.483
2020-05-28 12:00:00,61.749
2020-05-28 13:00:00,74.409
2020-05-28 14:00:00,89.093
2020-05-28 15:00:00,91.271
2020-05-28 16:00:00,92.155
2020-05-28 17:00:00,91.373
2020-05-28 18:00:00,91.823
2020-05-28 19:00:00,91.270
2020-05-28 20:00:00,91.230
2020-05-28 21:00:00,91.355
2020-05-28 22:00:00,92.856
2020-05-28 23:00:00,92.973
2020-05-29 00:00:00,92.084
2020-05-29 01:00:00,91.600
2020-05-29 02:00:00,91.643
2020-05-29 03:00:00,89.844
2020-05-29 04:00:00,88.992
2020-05-29 05:00:00,88.175
2020-05-29 06:00:00,87.512
2020-05-29 07:00:00,80.020
2020-05-29 08:00:00,75.381
2020-05-29 09:00:00,74.321
2020-05-29 10:00:00,70.895
2020-05-29 11:00:00,87.736
2020-05-29 12:00:00,87.517
2020-05-29 13:00:00,74.557
2020-05-29 14:00:00,75.021
2020-05-29 15:00:00,66.891
2020-05-29 16:00:00,76.553
2020-05-29 17:00:00,82.257
2020-05-29 18:00:00,83.389
2020-05-29 19:00:00,76.376
2020-05-29 20:00:00,75.096
2020-05-29 21:00:00,76.566
2020-05-29 22:00:00,77.084
2020-05-29 23:00:00,76.770
2020-05-30 00:00:00,78.632
2020-05-30 01:00:00,79.528
2020-05-30 02:00:00,83.357
2020-05-30 03:00:00,84.761
2020-05-30 04:00:00,85.368
2020-05-30 05:00:00,86.384
2020-05-30 06:00:00,85.117
2020-05-30 07:00:00,82.853
2020-05-30 08:00:00,74.539
2020-05-30 09:00:00,65.829
2020-05-30 10:00:00,62.307
2020-05-30 11:00:00,68.782
2020-05-30 12:00:00,60.453
2020-05-30 13:00:00,58.673
2020-05-30 14:00:00,54.602
2020-05-30 15:00:00,61.459
2020-05-30 16:00:00,61.629
2020-05-30 17:00:00,52.373
2020-05-30 18:00:00,43.990
2020-05-30 19:00:00,48.515
2020-05-30 20:00:00,53.919
2020-05-30 21:00:00,58.714
2020-05-30 22:00:00,61.768
2020-05-30 23:00:00,65.695
2020-05-31 00:00:00,68.500
2020-05-31 01:00:00,72.765
2020-05-31 02:00:00,74.994
2020-05-31 03:00:00,75.241
2020-05-31 04:00:00,77.234
2020-05-31 05:00:00,77.177
2020-05-31 06:00:00,68.917
2020-05-31 07:00:00,61.086
2020-05-31 08:00:00,47.985
2020-05-31 09:00:00,38.008
2020-05-31 10:00:00,36.576
2020-05-31 11:00:00,38.698
2020-05-31 12:00:00,36.802
2020-05-31 13:00:00,34.675
2020-05-31 14:00:00,32.853
2020-05-31 15:00:00,32.689
2020-05-31 16:00:00,31.556
2020-05-31 17:00:00,36.760
2020-05-31 18:00:00,40.642
2020-05-31 19:00:00,41.375
2020-05-31 20:00:00,43.036
2020-05-31 21:00:00,43.707
2020-05-31 22:00:00,45.466
2020-05-31 23:00:00,46.413
2020-06-01 00:00:00,46.868
2020-06-01 01:00:00,45.254
2020-06-01 02:00:00,48.321
2020-06-01 03:00:00,49.165
2020-06-01 04:00:00,50.365
2020-06-01 05:00:00,54.847
2020-06-01 06:00:00,60.204
2020-06-01 07:00:00,59.503
2020-06-01 08:00:00,47.916
2020-06-01 09:00:00,42.271
2020-06-01 10:00:00,34.765
2020-06-01 11:00:00,34.297
2020-06-01 12:00:00,38.622
2020-06-01 13:00:00,34.687
2020-06-01 14:00:00,28.844
2020-06-01 15:00:00,25.290
2020-06-01 16:00:00,24.849
2020-06-01 17:00:00,23.779
2020-06-01 18:00:00,24.617
2020-06-01 19:00:00,27.295
2020-06-01 20:00:00,29.500
2020-06-01 21:00:00,33.520
2020-06-01 22:00:00,40.064
2020-06-01 23:00:00,40.209
2020-06-02 00:00:00,39.737
2020-06-02 01:00:00,40.318
2020-06-02 02:00:00,38.519
2020-06-02 03:00:00,41.394
2020-06-02 04:00:00,52.106
2020-06-02 05:00:00,66.046
2020-06-02 06:00:00,75.167
2020-06-02 07:00:00,75.359
2020-06-02 08:00:00,75.005
2020-06-02 09:00:00,75.487
2020-06-02 10:00:00,73.594
2020-06-02 11:00:00,65.023
2020-06-02 12:00:00,56.409
2020-06-02 13:00:00,51.295
